key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,CDT_trials_train.thisRepN,CDT_trials_train.thisTrialN,CDT_trials_train.thisN,CDT_trials_train.thisIndex,CDT_trials_train.ran,trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,CDT_trials.thisRepN,CDT_trials.thisTrialN,CDT_trials.thisN,CDT_trials.thisIndex,CDT_trials.ran,trialResp_Train.keys,trialResp_Train.corr,trialResp_Train.rt,GNGtrials_train.thisRepN,GNGtrials_train.thisTrialN,GNGtrials_train.thisN,GNGtrials_train.thisIndex,GNGtrials_train.ran,orangeOpacity,blueOpacity,trialResp.keys,trialResp.corr,GNG_trials_1.thisRepN,GNG_trials_1.thisTrialN,GNG_trials_1.thisN,GNG_trials_1.thisIndex,GNG_trials_1.ran,trialResp.rt,GNG_trials_2.thisRepN,GNG_trials_2.thisTrialN,GNG_trials_2.thisN,GNG_trials_2.thisIndex,GNG_trials_2.ran,GNG_trials_3.thisRepN,GNG_trials_3.thisTrialN,GNG_trials_3.thisN,GNG_trials_3.thisIndex,GNG_trials_3.ran,slider_2.response,slider_2.rt,engprof_trials.thisRepN,engprof_trials.thisTrialN,engprof_trials.thisN,engprof_trials.thisIndex,engprof_trials.ran,qpnumber,qproficiency,slider.response,slider.rt,IUS12_trials.thisRepN,IUS12_trials.thisTrialN,IUS12_trials.thisN,IUS12_trials.thisIndex,IUS12_trials.ran,qnumber,qenglish,key_resp_end.keys,key_resp_end.rt
y,3.363,m,5.962,l,0,0.895,0,0,0,0,1,1,same,4,0.14,0.14,orange,1,0.14,-0.41,blue,1,-0.14,-0.27,cyan,1,-0.41,0.14,red,1,0.14,0.41,black,0,0.27,-0.27,green,0,-0.41,-0.27,magenta,0,-0.41,0.41,yellow,0,0.05,0.05,0.15,0.14,-0.41,blue,k,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,l,1,0.526,0,1,1,1,1,2,different,4,0.14,0.41,black,1,0.14,-0.41,green,1,-0.41,-0.27,orange,1,-0.27,0.41,magenta,1,0.14,0.27,red,0,0.41,-0.27,cyan,0,-0.27,-0.41,yellow,0,-0.27,0.27,blue,0,0.05,0.05,0.15,-0.27,0.41,red,l,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.411,0,2,2,2,1,3,same,8,0.27,0.41,yellow,1,0.14,-0.41,cyan,1,-0.14,-0.27,blue,1,-0.14,0.27,green,1,0.14,0.14,red,1,0.27,-0.27,black,1,-0.27,-0.27,magenta,1,-0.27,0.14,orange,1,0.05,0.05,0.15,-0.14,0.27,green,k,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,l,1,0.885,0,3,3,3,1,4,different,8,0.14,0.41,green,1,0.27,-0.14,red,1,-0.27,-0.14,black,1,-0.14,0.41,orange,1,0.41,0.27,blue,1,0.41,-0.27,magenta,1,-0.14,-0.14,cyan,1,-0.27,0.14,yellow,1,0.05,0.05,0.15,0.27,-0.14,cyan,l,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,same,8,0.14,0.27,yellow,1,0.27,-0.14,magenta,1,-0.27,-0.27,black,1,-0.41,0.41,blue,1,0.41,0.14,cyan,1,0.14,-0.14,red,1,-0.41,-0.14,orange,1,-0.41,0.27,green,1,0.05,0.05,0.15,-0.27,-0.27,black,k,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.11,0,0,0,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,same,8,0.14,0.27,yellow,1,0.27,-0.41,orange,1,-0.27,-0.41,green,1,-0.41,0.14,cyan,1,0.41,0.27,blue,1,0.14,-0.14,magenta,1,-0.14,-0.14,red,1,-0.41,0.41,black,1,0.05,0.05,0.15,-0.41,0.41,black,k,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.926,0,1,1,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,different,8,0.14,0.14,red,1,0.27,-0.27,yellow,1,-0.27,-0.14,orange,1,-0.41,0.41,magenta,1,0.27,0.27,cyan,1,0.14,-0.41,green,1,-0.27,-0.41,blue,1,-0.41,0.14,black,1,0.05,0.05,0.15,-0.27,-0.41,black,l,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.701,0,2,2,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,different,4,0.27,0.41,cyan,1,0.14,-0.14,orange,1,-0.41,-0.14,black,1,-0.27,0.41,blue,1,0.14,0.27,magenta,0,0.27,-0.14,green,0,-0.27,-0.14,red,0,-0.14,0.41,yellow,0,0.05,0.05,0.15,0.14,-0.14,green,l,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.755,0,3,3,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,different,4,0.27,0.27,black,1,0.41,-0.14,red,1,-0.41,-0.27,magenta,1,-0.14,0.14,green,1,0.41,0.41,cyan,0,0.14,-0.14,yellow,0,-0.27,-0.41,blue,0,-0.27,0.14,orange,0,0.05,0.05,0.15,0.41,-0.14,magenta,l,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.768,0,4,4,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,different,8,0.14,0.27,green,1,0.27,-0.41,orange,1,-0.14,-0.14,yellow,1,-0.27,0.41,magenta,1,0.27,0.14,blue,1,0.14,-0.27,red,1,-0.41,-0.14,cyan,1,-0.41,0.14,black,1,0.05,0.05,0.15,0.14,-0.27,cyan,l,788364,24,2020-08-05_15h13.31.317,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,1.435,0,5,5,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
